"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPUSD3",5.06587295040741e-05,0.443837453411459,0.071,0.095,1
"ZCWPW1",5.08965566173115e-05,1.74534123931625,0.025,0.015,1
"TMA16",5.09299316121683e-05,0.325555977857783,0.101,0.13,1
"CLEC2B",5.11098882251253e-05,0.561783901758933,0.406,0.437,1
"HOXB3",5.12973809451415e-05,2.3551384358087,0.012,0.005,1
"TMEM237",5.13611109969141e-05,1.50263500004213,0.035,0.023,1
"RFC4",5.17220217990152e-05,0.132884685278714,0.022,0.034,1
"FCAR",5.20183799667678e-05,-0.162487656015521,0.004,0.01,1
"FLJ27354",5.2166904233305e-05,-0.626822502541551,0.007,0.014,1
"RDH13",5.22064876530765e-05,1.50340933524213,0.028,0.017,1
"OASL",5.22371472857414e-05,0.687603732877842,0.086,0.068,1
"SLC12A9",5.26157303445513e-05,0.255906787955189,0.055,0.075,1
"FZD7",5.28313102298338e-05,1.25869635803001,0.014,0.007,1
"TRMO",5.2854534595545e-05,0.314683722114586,0.033,0.049,1
"NACA2",5.29633424121692e-05,2.28886669546165,0.012,0.005,1
"SH3RF1",5.32000095633109e-05,0.966593030346349,0.032,0.02,1
"SPPL2A",5.34869800910241e-05,0.302553746581768,0.195,0.244,1
"SCRN2",5.3800004247426e-05,0.608839796909933,0.065,0.088,1
"C7orf60",5.39658661629951e-05,0.125298135318769,0.016,0.027,1
"KIAA0430",5.40065177221091e-05,1.15183684940696,0.069,0.053,1
"IGF2BP2",5.41104674324973e-05,1.29191529780753,0.043,0.03,1
"PSMD1",5.44696182056909e-05,0.330788687895467,0.125,0.159,1
"SNTB1",5.47209246927542e-05,-0.130217900936029,0.067,0.087,1
"SEC22C",5.47419026058339e-05,1.13855060407366,0.113,0.097,1
"TRPM4",5.50554345187882e-05,-0.28155284424428,0.02,0.032,1
"MAP4K2",5.5094182811296e-05,1.4361679958873,0.037,0.025,1
"PRKAB2",5.51024528749129e-05,1.64608998477796,0.022,0.013,1
"CSNK1G2",5.51202483345332e-05,0.246783142439846,0.038,0.054,1
"ESCO1",5.54657632605123e-05,1.30156058064679,0.075,0.059,1
"MICA",5.55461970075207e-05,1.08284512644202,0.076,0.06,1
"SGK223",5.59820763717463e-05,-0.450574684139461,0.01,0.019,1
"SLC16A6",5.60467751090626e-05,0.27043603007453,0.049,0.067,1
"KLHL42",5.62210777652129e-05,1.26422497944753,0.051,0.037,1
"MYO5C",5.63314214504981e-05,1.06841846098866,0.03,0.019,1
"SNX7",5.66900185015548e-05,0.971966530982347,0.041,0.028,1
"PHLDB3",5.67296930572938e-05,0.218072062433548,0.016,0.026,1
"COL4A2",5.70667618242403e-05,0.208804265319923,0.084,0.109,1
"OSCP1",5.72742074625654e-05,1.27446648778454,0.018,0.01,1
"NRAV",5.75798595486641e-05,-0.36093084243714,0.007,0.014,1
"CLEC4E",5.76268855292364e-05,0.8140416348071,0.205,0.191,1
"BIN3",5.86070073379013e-05,0.39632971624034,0.059,0.08,1
"CD226",5.9090668249165e-05,0.442186168633817,0.008,0.016,1
"MCC",5.92069253932624e-05,1.82698611361335,0.037,0.025,1
"SLC35A2",5.92089937834942e-05,0.32410204130465,0.057,0.077,1
"INO80B",5.92487062108735e-05,0.499193949481852,0.016,0.027,1
"TFF3",5.93603378094841e-05,1.63656089283008,0.021,0.012,1
"EMID1",5.96042075794642e-05,-0.889362448005262,0.006,0.013,1
"POLR2I",6.05565467172539e-05,0.378050683374709,0.27,0.348,1
"RSPO3",6.05955657173757e-05,1.39658591178629,0.011,0.005,1
"GPATCH11",6.06685036101699e-05,1.17323280348331,0.051,0.036,1
"AK9",6.06985202695904e-05,1.77681973354411,0.036,0.024,1
"ZFP30",6.12246771210333e-05,2.61456386909433,0.01,0.004,1
"ACE",6.15238510690331e-05,0.325617280170731,0.04,0.056,1
"MANSC1",6.16449321100027e-05,1.10197951149897,0.039,0.027,1
"NAE1",6.16781909554925e-05,1.2592412816704,0.123,0.108,1
"AGT",6.1825485266183e-05,1.46201886631352,0.013,0.006,1
"CST7",6.18942156175818e-05,0.624390486791592,0.063,0.084,1
"EHBP1L1",6.18948383681554e-05,0.376579216861268,0.066,0.088,1
"ZNF595",6.19268770385779e-05,1.83226188481146,0.017,0.008,1
"CIC",6.20551302164693e-05,0.189268663052802,0.038,0.054,1
"NEU4",6.23412020134371e-05,-0.708861968563006,0.006,0.013,1
"C1RL",6.27616537254947e-05,0.997902263971698,0.053,0.039,1
"SPOPL",6.29557751704641e-05,0.993696123206627,0.051,0.037,1
"INSR",6.32749682453812e-05,0.134068047910294,0.086,0.112,1
"STX10",6.33049176942498e-05,0.785342096177313,0.18,0.166,1
"HEXIM1",6.35401762980752e-05,0.9151082421609,0.154,0.139,1
"RGL2",6.36133000401167e-05,0.977338086305231,0.097,0.08,1
"WDR19",6.3942316786675e-05,1.56702831439761,0.018,0.01,1
"MACROD1",6.43569892646369e-05,1.14716079635705,0.06,0.045,1
"KLHL20",6.46655695547694e-05,1.19738556042512,0.066,0.051,1
"SGMS1",6.47339758880062e-05,0.992497598141223,0.08,0.064,1
"CNTN4",6.49219907384434e-05,0.261013232323723,0.007,0.014,1
"CD163L1",6.49489988238019e-05,-0.827610634096851,0.005,0.012,1
"TUSC3",6.50660835590171e-05,1.12752836363917,0.056,0.042,1
"OXSM",6.52156859161744e-05,0.275773964101206,0.024,0.037,1
"RBBP6",6.53070627839066e-05,0.418949167915042,0.202,0.258,1
"FAM216A",6.53825902812055e-05,-0.197556598710567,0.009,0.017,1
"GS1-600G8.5",6.53870194915044e-05,1.93767805840148,0.014,0.007,1
"ZNF611",6.59505441092131e-05,1.5513652802488,0.021,0.012,1
"MAP1A",6.63511674025718e-05,-0.57229927393047,0.009,0.017,1
"SNAI2",6.64211159983697e-05,1.11192232873606,0.03,0.019,1
"GRPEL1",6.64387210175006e-05,0.229463445209089,0.175,0.217,1
"TXNDC12",6.68186686884366e-05,0.369577002615968,0.228,0.291,1
"MED7",6.68678342853718e-05,1.12719694534411,0.074,0.058,1
"SERINC5",6.70771990218788e-05,0.152221602680983,0.065,0.086,1
"PRICKLE4",6.76793427891578e-05,0.188931282072326,0.007,0.014,1
"JDP2",6.85980851791516e-05,1.19518490765658,0.074,0.058,1
"DXO",7.02742642815233e-05,0.256078756421331,0.028,0.041,1
"CASC4",7.02803838741249e-05,0.493903859339505,0.095,0.124,1
"UHMK1",7.07154013658093e-05,0.958401921817093,0.124,0.108,1
"ZHX3",7.10679108654229e-05,1.80751984838702,0.022,0.013,1
"SLC35E2B",7.1607283367402e-05,1.27083949896917,0.053,0.039,1
"RWDD2A",7.16530221849e-05,0.282422642771458,0.016,0.026,1
"HOXA4",7.21313211983279e-05,1.71056247453209,0.015,0.007,1
"ATG12",7.25474327333197e-05,0.404376927531081,0.184,0.233,1
"GPR85",7.26519044150222e-05,1.51124261372909,0.014,0.006,1
"GNB2",7.28132341781284e-05,0.166183385212421,0.397,0.509,1
"CRYL1",7.32094218808651e-05,0.431835646780705,0.102,0.132,1
"ATG4A",7.34016831901542e-05,0.74541841977771,0.057,0.078,1
"FAM150B",7.40398948874083e-05,1.27842236195059,0.014,0.006,1
"ARHGEF7",7.42184971376157e-05,0.233651649559663,0.041,0.058,1
"CASC15",7.43233838505296e-05,-0.183866517259477,0.009,0.017,1
"MRPL50",7.43441993351522e-05,0.430467023346801,0.167,0.211,1
"CYP2R1",7.47816392173394e-05,0.480286000529885,0.023,0.036,1
"PUM2",7.49231357844985e-05,1.06432235291012,0.107,0.091,1
"BORCS5",7.52200909795765e-05,0.554827473472936,0.045,0.062,1
"SRSF1",7.54115510112542e-05,0.317934485353526,0.182,0.228,1
"CLIC6",7.54969889658096e-05,1.46870172247594,0.013,0.006,1
"KBTBD11",7.55886111348897e-05,-0.245667526477145,0.014,0.023,1
"CHUK",7.61105136603831e-05,0.26750858828726,0.032,0.046,1
"NIPBL",7.61134969542373e-05,0.917278232292406,0.164,0.151,1
"RSRC1",7.61562880726805e-05,1.01563483118394,0.134,0.117,1
"CRCP",7.68110945587544e-05,1.3488216838197,0.062,0.047,1
"ARHGAP44",7.70807853563063e-05,2.02765160824788,0.016,0.008,1
"SLC30A7",7.7614658587464e-05,0.473780581057189,0.074,0.098,1
"SRBD1",7.79720355525744e-05,1.40476587717517,0.045,0.032,1
"RP11-134L10.1",7.86488924796582e-05,-0.231006670839229,0.004,0.01,1
"RP11-290L1.2",7.87017253577342e-05,2.02721234818645,0.011,0.005,1
"RPPH1",7.87825905430512e-05,1.18181018298367,0.055,0.041,1
"RASD1",7.88900196241375e-05,0.638172475438861,0.08,0.063,1
"BORCS7",7.96072057542849e-05,0.796823636219212,0.182,0.167,1
"CASP8",7.9939466613512e-05,1.44173555757454,0.077,0.062,1
"CBFA2T3",8.06093234016236e-05,0.703250644357159,0.015,0.025,1
"ZNF641",8.06533629858957e-05,1.57651490245614,0.024,0.014,1
"TTF1",8.22604798969122e-05,1.09497334136235,0.081,0.065,1
"SPECC1",8.25717111967885e-05,1.20277111844926,0.043,0.03,1
"DNASE2",8.32341870003085e-05,0.390406950126732,0.17,0.217,1
"ULK2",8.32671569098738e-05,1.28133562374312,0.026,0.016,1
"FAM20A",8.32797247448363e-05,-0.126159928841779,0.033,0.048,1
"ABCF3",8.37597258482964e-05,0.463798303066781,0.055,0.075,1
"DDR1",8.38913761332655e-05,1.23669741679922,0.028,0.017,1
"HES4",8.40739406513922e-05,0.687792488538715,0.099,0.082,1
"DENND6A",8.43710982623895e-05,1.41907425445222,0.045,0.032,1
"SCN1B",8.45554809295605e-05,-0.13390917776491,0.01,0.018,1
"DYNLRB1",8.50252467316756e-05,0.575083978313831,0.434,0.501,1
"DHX40",8.5255743370011e-05,1.32144475952795,0.052,0.038,1
"MTA2",8.53257417831729e-05,0.144580211909362,0.014,0.023,1
"SLC25A40",8.5642353613438e-05,0.161054177255869,0.031,0.045,1
"CRTC3",8.57138319788297e-05,0.459068829722883,0.066,0.088,1
"PIK3CA",8.57458934674688e-05,1.30296699937567,0.064,0.05,1
"C12orf10",8.63915116143371e-05,0.344071006732649,0.13,0.165,1
"TIGAR",8.71721236315428e-05,0.133687363442575,0.075,0.098,1
"HAUS7",8.73153454420467e-05,0.21633379795141,0.02,0.031,1
"RP11-96H19.1",8.73956432041498e-05,0.624577441013209,0.005,0.011,1
"NTPCR",8.79669715435636e-05,0.26811449770681,0.088,0.113,1
"JAK2",8.82759119674897e-05,1.23530118515814,0.048,0.034,1
"FAM204A",8.87217549882149e-05,0.920379305214128,0.224,0.222,1
"TRIM36",8.92884532266879e-05,-0.751193909669378,0.004,0.01,1
"EBP",8.96385169338509e-05,0.994185348554456,0.165,0.153,1
"KLHDC3",8.98065412260437e-05,0.470129701261221,0.097,0.125,1
"TGOLN2",9.00475726756431e-05,0.666278619225604,0.294,0.3,1
"C19orf12",9.03283883988602e-05,0.304355750073793,0.032,0.046,1
"PCSK5",9.11168280142462e-05,1.45371007962402,0.033,0.022,1
"KCTD15",9.1225717681809e-05,1.92203211425694,0.016,0.008,1
"NDUFV3",9.12758830475478e-05,0.463343884389487,0.186,0.238,1
"STAT5A",9.13239750542297e-05,0.218986346911438,0.062,0.082,1
"NUDT12",9.15163262180478e-05,1.25128658677583,0.024,0.014,1
"BORA",9.15896719039239e-05,-0.380059427497756,0.007,0.014,1
"SLC37A3",9.16464795464574e-05,1.70019231750799,0.03,0.02,1
"TCN2",9.21651934719709e-05,1.09120644734331,0.172,0.16,1
"ICK",9.22358738448307e-05,1.36858442537631,0.03,0.019,1
"APOM",9.22703246025822e-05,0.323470823551481,0.016,0.026,1
