"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",0,-5.79556110135585,0.138,0.79,0
"IGHA1",0,-2.76303546245748,0.115,0.753,0
"IGHG1",0,-7.74012118891072,0.015,0.626,0
"SPP1",0,-5.00638335874876,0.034,0.625,0
"RGS1",0,-1.28879653221426,0.193,0.714,0
"IGLC2",0,-6.13474011941643,0.029,0.545,0
"IGHG3",0,-8.27911453296275,0.006,0.519,0
"HLA-DRB5",0,-6.47407366579093,0.032,0.535,0
"SFTPC",0,3.52875675926956,0.885,0.389,0
"CRIP1",0,-3.35143239724753,0.197,0.684,0
"RPL17",0,-1.37138642542666,0.396,0.841,0
"IGHM",0,-5.45902913435192,0.035,0.475,0
"MIF",0,-1.67743258617174,0.318,0.742,0
"JCHAIN",0,-3.07171834379157,0.024,0.443,0
"BEST1",0,-3.56695979371865,0.071,0.482,0
"IGHG4",0,-7.43154832218103,0.007,0.415,0
"GABARAP",0,-2.05042111831184,0.096,0.498,0
"HSPH1",0,-1.2983595436655,0.299,0.691,0
"IGKV4-1",0,-11.4686706543603,0,0.39,0
"CCL2",0,-2.83978704748799,0.118,0.502,0
"IGHG2",0,-4.8782756537587,0.006,0.381,0
"LSP1",0,-1.25190190487795,0.207,0.573,0
"ANKRD28",0,-1.31749275699643,0.139,0.5,0
"RPS4Y1",0,10.5289390140082,0.355,0.001,0
"C15orf48",0,-3.062003377406,0.095,0.448,0
"FCN3",0,4.59714831761293,0.411,0.066,0
"MTHFD2",0,-1.27674493433125,0.151,0.495,0
"TYMP",0,-1.63866349887401,0.411,0.752,0
"NME1",0,-1.70215520819946,0.128,0.467,0
"DNAJB1",0,-1.31516833008388,0.609,0.941,0
"TGFBI",0,-2.44479961294316,0.146,0.472,0
"NUPR1",0,2.46635971324765,0.537,0.212,0
"ADIRF",0,2.21160918847091,0.47,0.15,0
"CCL18",0,-4.24022786589747,0.055,0.367,0
"SLPI",0,4.10330589222444,0.397,0.086,0
"HMGA1",0,-1.85585065915475,0.122,0.427,0
"SEPP1",0,2.64874695865077,0.45,0.15,0
"MMP9",0,-5.06794532823296,0.011,0.311,0
"SRM",0,-1.57314753798356,0.087,0.381,0
"HSPA6",0,-3.57694119714798,0.045,0.338,0
"EEF1G",0,-3.83493362635975,0.016,0.308,0
"IL1RN",0,-3.03933033412897,0.057,0.347,0
"CD74",0,-1.11333545255472,0.687,0.966,0
"CTSL",0,-2.70453220945443,0.316,0.587,0
"LILRB4",0,-2.89848120587766,0.048,0.308,0
"IGLC3",0,-3.97745339469964,0.029,0.287,0
"HSPA1B",0,-1.21385567220855,0.653,0.909,0
"MZB1",0,-4.91397230686666,0.009,0.262,0
"CD79A",0,-4.84908972080703,0.009,0.262,0
"VIM-AS1",0,-2.87577732842663,0.038,0.288,0
"DERL3",0,-4.807771265893,0.007,0.231,0
"PLA2G7",0,-3.29498010061372,0.025,0.247,0
"IGLV6-57",0,-7.04668492805184,0.001,0.223,0
"RP11-386G11.10",0,-4.3924906985408,0.011,0.229,0
"CTSB",0,-1.81485469430867,0.509,0.726,0
"IGHV4-39",0,-11.431291543632,0,0.212,0
"HSPA1A",0,-1.37238621441904,0.73,0.939,0
"IGKV3-20",0,-6.23374414694487,0.002,0.193,0
"IGKV1-5",0,-7.98955587215475,0.001,0.189,0
"VIM",0,-1.07605091577284,0.776,0.962,0
"HLA-B",0,-0.595961944939633,0.821,0.989,0
"ITM2B",0,1.14693500070331,0.901,0.857,0
"GSTP1",0,1.26243134007678,0.821,0.786,0
"MT-ATP6",0,0.684333772134666,0.989,0.973,0
"PRDX4",7.10275422863355e-305,-1.68516127106528,0.168,0.478,1.47240095159574e-300
"HSPB1",5.27309415581984e-298,-1.24525513112976,0.554,0.864,1.09311241850145e-293
"ID1",1.23918616712237e-297,3.45845103160523,0.398,0.121,2.56883292444466e-293
"GPX3",1.11833994765823e-292,2.94391352679941,0.488,0.213,2.31831871149551e-288
"MMP19",3.36921019502748e-290,-2.11899990988765,0.106,0.378,6.98437273429197e-286
"PIM2",1.56300705077844e-288,-2.25788232611092,0.059,0.308,3.2401136162637e-284
"POU2AF1",4.28763883989554e-287,-5.29026964744036,0.003,0.183,8.88827531510345e-283
"RPS20",1.56604513782212e-286,0.562413188848131,0.971,0.979,3.24641157070525e-282
"DUSP5",1.81103117600396e-278,-1.37759486100388,0.085,0.362,3.75426762785621e-274
"PDXK",8.60197365679063e-278,-1.59261576324029,0.167,0.469,1.7831891390527e-273
"DDX5",1.3479397276511e-277,0.821917195250128,0.915,0.898,2.79427905542073e-273
"MARCO",1.1842636884817e-274,-1.75104053330234,0.198,0.497,2.45497862622256e-270
"CCL7",6.547042870262e-267,-9.32090299594159,0.001,0.164,1.35720198700531e-262
"RPS14",1.85550333953894e-266,0.489229626458113,0.994,0.996,3.84645842286423e-262
"IGLV3-19",3.42839512384038e-263,-11.0400842314034,0,0.16,7.10706309172111e-259
"SLAMF7",1.75260301581476e-262,-2.90868899792288,0.009,0.185,3.633146051784e-258
"FCGR2B",1.03043475510567e-257,-1.58573998151871,0.061,0.301,2.13609124733405e-253
"HM13",1.21738777578861e-257,-1.04978068597821,0.195,0.524,2.52364485920979e-253
"MEI1",2.98801386118874e-255,-2.31468697400735,0.014,0.197,6.19415273424427e-251
"CYB5A",3.57006808617916e-254,2.16322380625353,0.508,0.277,7.40075114264939e-250
"GPNMB",8.54660786321348e-254,-1.62373067419009,0.207,0.497,1.77171181004416e-249
"TIMP3",2.76090271878872e-253,2.87806979283783,0.431,0.184,5.72335133604901e-249
"FCRL5",2.04798527306303e-251,-4.65108960422406,0.004,0.165,4.24547347105966e-247
"CD27",1.38824352460062e-247,-3.66184351198627,0.009,0.177,2.87782882649708e-243
"MANF",2.69616989308488e-247,-0.976068625833183,0.227,0.556,5.58916018836497e-243
"CCL20",1.22352533281909e-246,-1.60786972892386,0.1,0.354,2.53636801493397e-242
"XIST",2.2752681042041e-245,-0.827901413282443,0.236,0.588,4.7166307800151e-241
"BAG3",6.97391158922655e-244,-1.77721438078024,0.142,0.41,1.44569187244666e-239
"GPR183",3.29410598963843e-242,-1.05648151053412,0.202,0.524,6.82868171652046e-238
"IL4I1",1.03080400805317e-237,-3.66214431674875,0.011,0.176,2.13685670869423e-233
"IGHV3-23",1.83039937188969e-237,-5.27233110180574,0.003,0.153,3.79441789792732e-233
"TNFAIP3",2.19477836735334e-236,-0.720253889223315,0.308,0.643,4.54977555552347e-232
"BCL2A1",3.75717479180441e-236,-1.53537381742756,0.254,0.527,7.78862334341055e-232
"FKBP11",4.56880440664584e-232,-2.23095265445349,0.078,0.298,9.47113153497682e-228
"CECR1",5.1721272459867e-231,-1.38593091689901,0.096,0.344,1.07218197809304e-226
"RHOH",2.01802825960773e-230,-0.888935993536711,0.071,0.306,4.18337258216682e-226
"CYP4B1",7.77733513462463e-230,5.45655650697665,0.194,0.01,1.61224157340769e-225
"SDF2L1",1.23768932296865e-229,-1.08690437529035,0.216,0.519,2.565729966514e-225
"ZFAND2A",2.36145249594288e-224,-1.98206070572098,0.101,0.342,4.89529102408959e-220
"CYTIP",5.5559450246295e-222,-0.782695100128484,0.185,0.484,1.15174740360569e-217
"KRTCAP2",3.38955695924974e-220,-0.834214146403094,0.256,0.59,7.0265515765247e-216
"TMEM100",3.76638156926399e-220,3.48388013117225,0.238,0.036,7.80770899308426e-216
"EMP1",5.86474751795852e-220,-1.23141568265749,0.211,0.492,1.2157621604728e-215
"IGKV1-12",1.52713722884576e-218,-4.43588292709371,0.002,0.141,3.16575547539725e-214
"LAPTM4A",3.57988630370287e-217,1.13709126128901,0.755,0.688,7.42110430757606e-213
"CLEC5A",7.12693412719644e-216,-2.87039019521859,0.026,0.197,1.47741344456782e-211
"SFTA2",1.65480334115018e-215,3.96077022749119,0.214,0.025,3.43040732620432e-211
"TNFRSF17",8.19661929666326e-214,-4.06188304236455,0.005,0.145,1.69915918019829e-209
"ABL2",8.93545288186678e-214,-1.57352807253469,0.117,0.356,1.85231938241098e-209
"N4BP2L2",1.5917894049529e-212,1.58618134153617,0.572,0.402,3.29977943646735e-208
"SOD2",1.68003665101211e-211,-1.29789637834513,0.491,0.713,3.48271597754811e-207
"PGC",8.19595075686734e-210,6.34493708226294,0.187,0.013,1.6990205918986e-205
"CD79B",6.5053863981256e-208,-2.35215708676243,0.017,0.175,1.34856660033144e-203
"TFPI",2.06912318731262e-207,2.21871686826427,0.407,0.18,4.28929236729907e-203
"IGHV4-59",7.81177752736923e-207,-10.5472321736359,0,0.127,1.61938148142364e-202
"SSR4",1.5853600111395e-206,-1.63449192693525,0.635,0.846,3.28645130309218e-202
"EMP2",3.2101873296122e-205,2.9516005647493,0.365,0.143,6.65471833428609e-201
"TMEM70",3.31582618899045e-205,-1.16661866334722,0.172,0.446,6.87370768977721e-201
"PLPP5",3.85258372386041e-205,-1.39617918254009,0.071,0.285,7.98640605956264e-201
"NME2",4.34648959631571e-205,-3.69800636935031,0.01,0.154,9.01027293316247e-201
"CYBA",2.27618821839323e-203,-0.622745040085591,0.645,0.915,4.71853817672916e-199
"IGKV1-39",3.69093647860588e-202,-6.27799987805439,0.001,0.126,7.65131132014998e-198
"HSPE1",1.8667865290807e-201,-0.92376432261336,0.596,0.859,3.86984847478428e-197
"RNF187",4.99717518995232e-201,-1.3005263752642,0.066,0.274,1.03591441687712e-196
"DDX3Y",6.1787550501564e-201,11.8201997295043,0.154,0,1.28085592189742e-196
"AC090498.1",2.18821111649603e-200,-0.920502685474027,0.287,0.593,4.53616164449627e-196
"RPS25",3.69294838702421e-197,0.403980539906066,0.984,0.986,7.65548200630119e-193
"BASP1",1.09196597966636e-196,-1.01971158693082,0.113,0.354,2.26364547584837e-192
"CCL3",2.3579524327599e-196,-0.374151219042527,0.206,0.479,4.88803539311128e-192
"CAPG",3.28848751834044e-196,-1.14584901390275,0.34,0.594,6.81703462551973e-192
"MYL12A",4.16839830751972e-196,0.797163990606887,0.88,0.823,8.64108969148838e-192
"IGHV3-21",4.44526355266565e-196,-7.23828531669535,0.001,0.122,9.21503134467589e-192
"RAC2",1.32756485788287e-195,-0.883701875632061,0.129,0.379,2.75204195039119e-191
"SPAG4",9.18508657528411e-194,-2.67792892921681,0.01,0.149,1.9040684470564e-189
"SH3BGRL3",8.98436892022001e-193,-1.20978288608602,0.674,0.863,1.86245967716161e-188
"PFN1",1.19854443810273e-191,-0.90953070921583,0.85,0.947,2.48458262018696e-187
"GAPDH",1.93798109357191e-191,-0.755684807724712,0.867,0.962,4.01743480697457e-187
"PHLDA1",1.97960272476991e-191,-1.23672659282148,0.249,0.509,4.10371644844803e-187
"SFTPA2",7.17274057911175e-191,3.69008963469122,0.271,0.074,1.48690912204987e-186
"CES1",9.25599147604596e-191,3.55929107459416,0.251,0.06,1.91876703298433e-186
"WSB1",2.36837121213828e-190,1.33531614055925,0.601,0.463,4.90963352276266e-186
"VOPP1",3.94672724332095e-190,-1.0011018879014,0.09,0.312,8.18156557540434e-186
"RNASE1",3.83425483870945e-189,1.99224079693132,0.521,0.338,7.9484102806447e-185
"HLA-DPA1",8.01307698945775e-186,-0.80105676894872,0.509,0.818,1.66111085991459e-181
"HSPA8",5.04955166574575e-185,-0.748119289124161,0.69,0.916,1.04677206030909e-180
"TOMM7",8.3893097549661e-185,0.599609222957142,0.869,0.87,1.73910391220447e-180
"SLC9A3R2",1.37447423951424e-184,2.99235796142124,0.321,0.117,2.84928509851302e-180
"HMGB1",1.86629449940945e-183,0.710618005483177,0.853,0.854,3.86882849727578e-179
"IGHV3-7",2.98058347762588e-183,-11.0220860106684,0,0.113,6.17874954911845e-179
"RPS27A",1.53442581757837e-182,0.406428916099376,0.992,0.995,3.18086471983996e-178
"IER2",3.2235274898522e-182,1.46152009121489,0.726,0.69,6.68237248646362e-178
"HLA-DQA1",1.05918400064184e-181,-1.2636437394745,0.274,0.54,2.19568843333053e-177
"RPL23",1.45700618478486e-181,0.560193373347356,0.928,0.951,3.02037382105901e-177
"HERPUD1",6.49640202472122e-181,-1.16205688530617,0.564,0.784,1.34670413972471e-176
"PKM",6.97294656113461e-181,-0.924310513757225,0.475,0.717,1.4454918221232e-176
"KCNN4",7.61181182225919e-181,-3.75994252532811,0.008,0.135,1.57792859075433e-176
"PEBP4",8.09925099688174e-181,4.52182922916501,0.17,0.014,1.67897473165359e-176
"JSRP1",1.1426694893653e-180,-4.3083790098014,0.004,0.123,2.36875385145428e-176
"LMNA",7.71476359652192e-179,-0.918121249432008,0.534,0.751,1.59927049355899e-174
"CD48",1.13714553198785e-178,-0.876173302698436,0.104,0.33,2.35730268781081e-174
"RPS3",1.1766944233074e-178,0.415345971128157,0.973,0.984,2.43928753951625e-174
"CTSZ",5.45611397459225e-178,-1.40692684314542,0.287,0.53,1.13105242693297e-173
"ITM2C",1.76217360573659e-177,-1.2685721594733,0.052,0.231,3.65298588469195e-173
"SLC7A5",3.34731097682311e-177,-1.51764109703608,0.03,0.187,6.9389756549543e-173
"IL1B",3.9922750456641e-177,-1.53746272395587,0.142,0.363,8.27598616966168e-173
"JUN",8.30574976544833e-177,1.17858060368873,0.849,0.871,1.72178192637744e-172
"CXCL8",3.34443838531625e-175,-0.954014092813233,0.266,0.518,6.93302077276059e-171
"IGLV3-10",5.06914517007115e-174,-10.6718327530846,0,0.108,1.05083379375575e-169
"MFGE8",4.8907355561776e-173,2.40647121854934,0.271,0.08,1.01384948079562e-168
"ST6GAL1",1.65421941121778e-172,-1.42166293985221,0.034,0.191,3.42919683945445e-168
"IGHV3-48",2.16964229076809e-172,-5.64161017582543,0.002,0.111,4.49766846876225e-168
"DSTN",2.28123482160457e-172,1.65977297445343,0.649,0.58,4.72899978518628e-168
"SRSF5",3.49666961624337e-172,1.06278815792765,0.695,0.627,7.24859611447251e-168
"CHST11",1.92086957684703e-171,-1.30489351861733,0.071,0.261,3.9819626328039e-167
"UCP2",5.90925924078974e-171,-1.06896672239061,0.195,0.441,1.22498944061571e-166
"RPL23A",3.06111394533509e-170,0.345795247610018,0.977,0.987,6.34568920867964e-166
"CD68",9.17487922808711e-170,-1.01694407554772,0.329,0.568,1.90195246398246e-165
"SFTPD",1.03391296403928e-169,3.54807331851189,0.177,0.022,2.14330157445343e-165
"SLC16A10",1.14500136704985e-169,-1.87301599099537,0.052,0.219,2.37358783389435e-165
"PPDPF",2.41605918603691e-169,0.930104588134934,0.745,0.713,5.00849069265452e-165
"TIMP1",1.7364519853556e-168,-1.25867037192471,0.575,0.816,3.59966496564216e-164
"CD44",1.99418591533512e-167,-0.95904108458993,0.427,0.676,4.1339474024897e-163
"ANXA3",2.11287154194835e-167,4.34073028600461,0.164,0.016,4.37998270645893e-163
"IFNGR1",3.18904622785916e-167,1.64706388501304,0.573,0.43,6.61089283035203e-163
"DUSP2",2.00124973036261e-166,-0.350443404236115,0.204,0.478,4.14859069104168e-162
"RPL10",3.29804798537804e-166,0.400620854560755,0.998,0.996,6.83685347368867e-162
"IGHV1-18",3.78566549693063e-166,-5.20717692225401,0.002,0.109,7.84768457513719e-162
"MAOA",6.96442529269501e-166,2.86007214730286,0.227,0.055,1.44372536317567e-161
"GM2A",1.36970824032167e-165,-1.90432344998282,0.053,0.219,2.83940518218681e-161
"SEC11C",1.91400157169384e-165,-1.22896142698228,0.214,0.447,3.96772525812133e-161
"S100A13",3.45601576206873e-165,1.51733415388095,0.388,0.176,7.16432067476849e-161
"AK1",6.57665738979836e-165,3.12355224821073,0.245,0.07,1.3633410769052e-160
"KLF2",2.84827026071364e-164,-0.766558360397713,0.266,0.552,5.90446425045938e-160
"IGLV3-1",2.62312914959521e-163,-9.81691050751578,0,0.101,5.43774672711087e-159
"SMIM3",3.42521618140941e-163,-1.16901095590976,0.078,0.269,7.10047314406171e-159
"NAPSA",7.89099647191025e-163,3.10829503112347,0.211,0.045,1.635803568627e-158
"AQP9",1.55410349489772e-162,-1.89189339784519,0.073,0.247,3.22165654492298e-158
"COTL1",6.42262146602995e-162,-0.79168288386882,0.36,0.623,1.33140942990801e-157
"RPL11",1.09481330777651e-161,0.392463354874285,0.991,0.993,2.26954798702071e-157
"CA4",1.97070748966992e-161,4.452733265836,0.147,0.009,4.08527662608575e-157
"POSTN",4.88999854679672e-161,-2.77716967707232,0.025,0.162,1.01369669875096e-156
"PNOC",2.54992466021019e-160,-4.62415528606728,0.002,0.106,5.28599382061573e-156
"RPL34",5.32536271151752e-160,0.395521791238659,0.995,0.997,1.10394769009758e-155
"XBP1",1.7723685552867e-159,-1.43127310529802,0.493,0.715,3.67412001510933e-155
"SLC16A3",2.41150703579608e-159,-1.06067675777246,0.19,0.427,4.99905408520527e-155
"SERPING1",4.87290871383361e-159,2.16419485046493,0.412,0.226,1.01015397637771e-154
"ACKR1",5.21642761760595e-159,-2.05320649651881,0.041,0.194,1.08136544512971e-154
"HCST",3.60341300019576e-158,-0.930248442195842,0.271,0.508,7.46987514940581e-154
"RPL21",5.26060440737579e-158,0.378366808315977,0.997,0.997,1.090523293649e-153
"FMO2",2.44403919211705e-157,5.68252791588855,0.149,0.013,5.06649324525864e-153
"RPL27A",3.86687350038678e-157,0.349495644320877,0.991,0.993,8.0160287663018e-153
"PSAT1",1.10303898592538e-156,-2.7050075575083,0.006,0.115,2.28659981782331e-152
"RPL22L1",5.59133755409943e-156,-0.701852479787212,0.274,0.559,1.15908427496481e-151
"LIMCH1",8.61233004180358e-156,3.2801048934042,0.21,0.049,1.78533601766588e-151
"IL2RG",1.09728401202086e-155,-0.738565454731732,0.075,0.259,2.27466975691925e-151
"IL3RA",9.6249955662404e-154,-1.78290131560045,0.094,0.275,1.99526158088163e-149
"TSC22D3",1.03895299301925e-153,-0.810223032422424,0.655,0.864,2.15374955452891e-149
"SFTA1P",1.41834911217535e-153,3.80909548253487,0.161,0.02,2.94023770953951e-149
"CHI3L1",1.82411358860569e-153,-4.2089167011481,0.011,0.124,3.78138746917959e-149
"CTA-384D8.34",2.09867803579861e-153,-2.68217224504549,0.011,0.126,4.35055956821052e-149
"GK",3.43952940348792e-153,-1.21292113011831,0.125,0.326,7.13014445343045e-149
"C4orf48",8.68614676803847e-153,-0.807352000333258,0.223,0.478,1.80063822501438e-148
"ADGRF5",1.86296840025387e-152,2.63016751763985,0.225,0.059,3.86193349372628e-148
"WISP2",7.77042929028329e-152,6.20324403373586,0.133,0.006,1.61080999187573e-147
"CLDN18",9.3778073456217e-152,6.2232319612277,0.128,0.004,1.94401946274738e-147
"CRELD2",1.01332013270518e-151,-0.808578390451015,0.125,0.339,2.10061263509783e-147
"VIPR1",1.04730543079578e-151,4.38343788288301,0.146,0.013,2.17106415803965e-147
"SRSF9",4.43938620063491e-151,-0.627493280204194,0.314,0.612,9.20284759391617e-147
"LINC00152",4.91921318985738e-151,-0.638725870901361,0.129,0.351,1.01975289425744e-146
"IGFLR1",1.11764638835563e-150,-2.58494568535574,0.011,0.124,2.31688096306121e-146
"ITGAX",1.73277349899351e-150,-1.4840794288322,0.06,0.224,3.59203946341356e-146
"IGHA2",3.92895895466182e-150,-5.55665785956433,0.005,0.108,8.14473191301396e-146
"SELENBP1",4.37117035223727e-150,3.12231329117436,0.186,0.036,9.06143614018785e-146
"NLRP3",6.58006509581704e-150,-1.33380719026746,0.087,0.27,1.36404749436287e-145
"HLA-DPB1",7.65560938129702e-150,-0.81710388115836,0.489,0.75,1.58700782474287e-145
"APOE",2.45474225724278e-149,-0.69300287720871,0.315,0.576,5.08868069926427e-145
"CD302",2.60347087434135e-149,2.03957324495956,0.314,0.133,5.39699512250962e-145
"YWHAZ",3.27425967614914e-149,-0.677127527039826,0.474,0.743,6.78754030865716e-145
"PDK4",3.7739375775802e-149,1.47012209517687,0.443,0.252,7.82337259832376e-145
"POLD4",1.08487208765198e-148,-1.33862434652316,0.046,0.2,2.24893983770256e-144
"IL1RL1",1.62160014752749e-148,3.72932125454262,0.164,0.023,3.36157710582448e-144
"TPM1",1.71885588564259e-148,2.20233029616935,0.36,0.179,3.56318825093709e-144
"DEDD2",5.32216672426066e-148,-1.06903304047603,0.095,0.284,1.10328516193923e-143
"HOPX",5.42759343394852e-148,3.2185554910122,0.243,0.075,1.12514011885753e-143
"SFTA3",6.93646793147204e-148,3.63318775727638,0.152,0.017,1.43792980219415e-143
"RPS11",1.54533687950075e-147,0.424363009843941,0.965,0.974,3.20348335120505e-143
"PNP",1.7505170256253e-147,-1.4098607201947,0.085,0.262,3.62882179412124e-143
"SDPR",2.36562622143794e-147,2.23006436605578,0.302,0.122,4.90394315704086e-143
"ERN1",6.3946857146175e-147,-1.0384806082194,0.067,0.238,1.32561834864021e-142
"IGLV1-44",1.32452312159495e-146,-5.18708892438992,0.001,0.095,2.74573643106633e-142
"DUSP4",1.461003439144e-146,-1.81716027028895,0.035,0.176,3.02866012934551e-142
"EIF3E",1.63310251319857e-146,0.791723493424185,0.757,0.766,3.38542150986064e-142
"PDIA4",4.07235544603026e-146,-0.697506251920453,0.212,0.465,8.44199283962072e-142
"QPCT",5.72592247352968e-146,-1.7404773960618,0.053,0.207,1.1869837287627e-141
"HLA-DQA2",2.34424088685884e-145,-2.56147586845958,0.028,0.156,4.85961135845839e-141
"EIF1AY",9.95818057469257e-145,11.1709284634432,0.113,0,2.06433083313377e-140
"IGKV3-15",1.79111606990818e-144,-10.4514637770849,0,0.09,3.71298361291965e-140
"SLC6A4",1.05213963648107e-143,5.04803774121889,0.132,0.009,2.18108546642525e-139
"CD38",1.19879240388378e-143,-1.56677013334148,0.025,0.152,2.48509665325108e-139
"PABPC4",1.23237725752744e-143,-0.653630692434116,0.213,0.468,2.55471805485438e-139
"TAPBP",1.73305715369571e-143,-0.592333917730498,0.241,0.51,3.5926274796112e-139
"LMO7",2.92154500635648e-143,4.41769224027424,0.151,0.019,6.05636279817697e-139
"GNA15",3.006050512926e-143,-1.61746305938871,0.073,0.236,6.23154271329559e-139
"PPP1R14B",4.90155300371404e-143,-1.56813911295851,0.046,0.193,1.01609193766992e-138
"AGER",7.88962011132187e-143,7.28956776716393,0.132,0.009,1.63551824907702e-138
"CFL1",7.98608254985702e-143,-0.632270471943417,0.871,0.933,1.65551491258536e-138
"SPHK1",4.37360552621367e-142,-1.60411574974421,0.037,0.177,9.06648425584094e-138
"SEC61A1",4.63706910369015e-142,-0.729515145519214,0.11,0.311,9.61264425194969e-138
"SOD3",2.40447512940446e-141,1.71200236024301,0.224,0.059,4.98447694325544e-137
"RPL13A",4.14902116056249e-141,0.365740668040756,0.995,0.998,8.60092086584605e-137
"PLLP",4.29608670668032e-141,3.91437107282735,0.16,0.025,8.90578774294831e-137
"CXCR4",2.07585127414433e-140,-0.320863350773803,0.376,0.682,4.30323969130119e-136
"ACP5",2.11292266162175e-140,-0.791573233699724,0.263,0.507,4.38008867754188e-136
"LPXN",2.17156881658506e-140,-1.16422187898434,0.103,0.287,4.50166215678083e-136
"ENO1",2.37409781805488e-140,-0.783631413181338,0.59,0.779,4.92150477682777e-136
"PKHD1L1",5.36827133687236e-140,-2.39512712549034,0.007,0.108,1.11284264813364e-135
"IGLV2-14",7.44162398239912e-140,-4.96025351894808,0.001,0.091,1.54264865155134e-135
"CKS2",8.54358617067255e-140,-1.00931289829946,0.226,0.461,1.77108541318042e-135
"RPL6",8.55506175277001e-140,0.392578206110089,0.956,0.972,1.77346430134922e-135
"INMT",1.2554295042381e-139,4.69953563454045,0.154,0.022,2.60250536228559e-135
"FOLR1",1.59118191398137e-139,3.29807436097912,0.16,0.025,3.29852010768339e-135
"EIF4A2",1.66601636256607e-139,0.906636707678275,0.693,0.683,3.45365191959947e-135
"RP11-1100L3.8",2.44574223478185e-139,-3.75296222113456,0.006,0.103,5.07002365270278e-135
"CTSK",3.02796414665586e-139,-2.43820687670983,0.02,0.138,6.2769696760176e-135
"TBX3",3.80713592568555e-139,4.02595206594099,0.148,0.019,7.89219277394615e-135
"HLA-DRA",4.83589359492077e-139,-0.688425384085217,0.663,0.843,1.00248074222707e-134
"HSPD1",3.05477162855668e-137,-0.722866794990348,0.456,0.739,6.332541585998e-133
"MIR155HG",6.05309954110691e-137,-1.47876553136428,0.039,0.175,1.25480753487146e-132
"ALDH1A1",6.75128188003643e-137,2.65092794202452,0.255,0.091,1.39954073373155e-132
"FABP5",2.55147973187279e-136,-1.02883828864915,0.411,0.64,5.28921748417229e-132
"SPTBN1",5.82485282625865e-136,2.22593039846349,0.32,0.15,1.20749199088342e-131
"XXbac-BPG252P9.9",9.63924708691815e-136,-4.90125900381849,0.003,0.092,1.99821592111813e-131
"RP11-138A9.1",1.22164740214368e-135,-0.861555603672814,0.088,0.267,2.53247506464385e-131
"RPL14",1.32659548662396e-135,0.408960544704862,0.954,0.974,2.75003244377146e-131
"RP11-81H14.2",1.35792579880462e-135,-2.17941803090828,0.006,0.102,2.81498018092198e-131
"LINC01480",1.41803115580536e-135,-3.67176159944015,0.007,0.103,2.93957858598451e-131
"ALDH2",1.92989295995814e-135,1.42961697964394,0.483,0.333,4.00066810599323e-131
"PLVAP",2.20537380405474e-135,-3.03120253680072,0.017,0.128,4.57173989580548e-131
"PON2",9.40412792877406e-135,2.5183126682851,0.307,0.141,1.94947571963486e-130
"ZNF706",1.69885506732059e-134,-0.587704729716039,0.386,0.689,3.52172655455559e-130
"SMAP2",2.98389640287445e-134,-0.414569873326447,0.179,0.417,6.18561724315874e-130
"IFNGR2",1.16315308612073e-133,-0.912484434031474,0.209,0.433,2.41121634752826e-129
"ANXA2",2.48355197555062e-133,-0.769186324945956,0.68,0.791,5.14840324531644e-129
"ARID5B",1.34620809217816e-132,-0.604842443616452,0.242,0.491,2.79068937508533e-128
"MT-CO2",1.76719931675405e-132,0.385968405230037,0.994,0.985,3.66340418363114e-128
"PTRF",2.11053644847122e-132,1.82134557913869,0.35,0.173,4.37514205768084e-128
"FXYD5",4.01118294500408e-132,-0.61558912471225,0.428,0.707,8.31518224499345e-128
"MUC1",6.78843517755585e-132,3.03268610275666,0.168,0.033,1.40724261230733e-127
"SULT1A1",8.26043230629195e-132,2.64835859570709,0.206,0.058,1.71238761709432e-127
"GADD45A",1.2314538853958e-131,-0.790140588460602,0.131,0.333,2.5528039044255e-127
"NCF1",1.54185816129671e-131,-0.892130161782687,0.071,0.233,3.19627196836808e-127
"LAPTM5",1.62064554343406e-131,-0.60516337368767,0.447,0.704,3.3595982115388e-127
"SDSL",5.29883369725342e-131,-2.10882219252895,0.034,0.16,1.09844822544063e-126
"SKP1",2.91937836408535e-130,0.661956386948664,0.784,0.786,6.05187134874893e-126
"CXCL3",3.19914319104949e-130,-1.20670404290042,0.308,0.521,6.63182383504559e-126
"BCKDK",4.84444591936659e-130,-0.851656894056787,0.121,0.313,1.00425363908469e-125
"A1BG",6.99677266475658e-130,-0.814113789662836,0.063,0.22,1.45043097340404e-125
"SLC2A3",1.37821286728481e-129,-0.493939177125888,0.311,0.585,2.85703527388142e-125
"S100A14",2.9671376969344e-129,3.79198174517639,0.139,0.018,6.15087644574501e-125
"CD52",4.67126063720334e-129,-0.459577832315195,0.311,0.566,9.68352330092253e-125
"SFTPA1",7.73833318034477e-129,2.98254801317635,0.27,0.111,1.60415646828547e-124
"RP11-16E12.2",1.47656639985208e-128,-3.40659371231941,0.006,0.097,3.06092214689336e-124
"GNG7",1.50868262940569e-128,-1.05093774080476,0.034,0.162,3.127499090758e-124
"IFI27",1.53469938831108e-128,2.04729162902596,0.39,0.216,3.18143183196886e-124
"HIF3A",4.65801842045466e-127,4.38471577836287,0.123,0.011,9.65607218560251e-123
"BTNL9",4.93154968538697e-127,3.78058266672258,0.135,0.016,1.02231024978072e-122
"GKN2",7.83614213052421e-127,4.45961231327725,0.117,0.008,1.62443226365767e-122
